Input,Algorithm,Delay,Weighted Delay,Rounds
capacity_input.txt,main,0,0,3
capacity_input.txt,TeamHeispeed,3,3,5
capacity_input.txt,TeamOffByOne,0,0,3
capacity_input.txt,TeamZuegigZumErfolg,0,0,3
custom_min_11_10-8_12_20_30_4-31_5_10_4-15_20_input.txt,main,47,426,9
custom_min_11_10-8_12_20_30_4-31_5_10_4-15_20_input.txt,TeamHeispeed,112,1134,18
custom_min_11_10-8_12_20_30_4-31_5_10_4-15_20_input.txt,TeamOffByOne,53,456,11
custom_min_11_10-8_12_20_30_4-31_5_10_4-15_20_input.txt,TeamZuegigZumErfolg,50,468,12
custom_min_165_10-62_12_20_30_31-8978_5_10_4-633_20_input.txt,main,11837,135429,68
custom_min_165_10-62_12_20_30_31-8978_5_10_4-633_20_input.txt,TeamHeispeed,67982,785453,253
custom_min_165_10-62_12_20_30_31-8978_5_10_4-633_20_input.txt,TeamZuegigZumErfolg,21028,224964,83
custom_min_19_10-12_12_20_30_6-97_5_10_4-32_20_input.txt,main,157,1739,13
custom_min_19_10-12_12_20_30_6-97_5_10_4-32_20_input.txt,TeamHeispeed,1581,17339,106
custom_min_19_10-12_12_20_30_6-97_5_10_4-32_20_input.txt,TeamZuegigZumErfolg,190,2116,15
custom_min_281_10-93_12_20_30_47-27832_5_10_4-1330_20_input.txt,main,31068,365280,102
custom_min_281_10-93_12_20_30_47-27832_5_10_4-1330_20_input.txt,TeamHeispeed,161717,1803849,354
custom_min_281_10-93_12_20_30_47-27832_5_10_4-1330_20_input.txt,TeamZuegigZumErfolg,67302,708056,127
custom_min_33_10-18_12_20_30_9-301_5_10_4-68_20_input.txt,main,517,4990,21
custom_min_33_10-18_12_20_30_9-301_5_10_4-68_20_input.txt,TeamHeispeed,2892,30892,81
custom_min_33_10-18_12_20_30_9-301_5_10_4-68_20_input.txt,TeamZuegigZumErfolg,662,6445,28
custom_min_57_10-27_12_20_30_14-934_5_10_4-143_20_input.txt,main,1314,14181,26
custom_min_57_10-27_12_20_30_14-934_5_10_4-143_20_input.txt,TeamHeispeed,9244,97522,149
custom_min_57_10-27_12_20_30_14-934_5_10_4-143_20_input.txt,TeamZuegigZumErfolg,1874,20295,32
custom_min_6_10-5_12_20_30_3-10_5_10_4-7_20_input.txt,main,25,211,8
custom_min_6_10-5_12_20_30_3-10_5_10_4-7_20_input.txt,TeamHeispeed,73,658,16
custom_min_6_10-5_12_20_30_3-10_5_10_4-7_20_input.txt,TeamZuegigZumErfolg,28,267,7
custom_min_97_10-41_12_20_30_21-2896_5_10_4-301_20_input.txt,main,4235,47177,43
custom_min_97_10-41_12_20_30_21-2896_5_10_4-301_20_input.txt,TeamHeispeed,19821,226675,223
custom_min_97_10-41_12_20_30_21-2896_5_10_4-301_20_input.txt,TeamZuegigZumErfolg,6524,67115,52
get_delay_input.txt,main,3,300,4
get_delay_input.txt,TeamHeispeed,3,300,4
large_input.txt,main,0,0,110
large_input.txt,TeamHeispeed,270,3869,280
large_input.txt,TeamOffByOne,0,0,145
large_input.txt,TeamZuegigZumErfolg,0,0,145
simple_0_input.txt,main,0,0,3
simple_0_input.txt,TeamHeispeed,0,0,3
simple_0_input.txt,TeamOffByOne,0,0,3
simple_0_input.txt,TeamZuegigZumErfolg,0,0,3
simple_1_input.txt,main,0,0,4
simple_1_input.txt,TeamHeispeed,0,0,4
simple_1_input.txt,TeamOffByOne,0,0,4
simple_1_input.txt,TeamZuegigZumErfolg,0,0,4
simple_2_input.txt,main,0,0,3
simple_2_input.txt,TeamHeispeed,0,0,5
simple_2_input.txt,TeamOffByOne,0,0,5
simple_2_input.txt,TeamZuegigZumErfolg,0,0,3
simple_input.txt,main,2,20,6
simple_input.txt,TeamHeispeed,6,46,8
simple_input.txt,TeamOffByOne,3,30,7
simple_input.txt,TeamZuegigZumErfolg,3,30,7
station_capacity_input.txt,main,0,0,4
station_capacity_input.txt,TeamHeispeed,1,50,5
station_capacity_input.txt,TeamOffByOne,0,0,4
station_capacity_input.txt,TeamZuegigZumErfolg,0,0,4
test-input-1_2_input.txt,main,0,0,3
test-input-1_2_input.txt,TeamHeispeed,3,3,5
test-input-1_2_input.txt,TeamOffByOne,0,0,3
test-input-1_2_input.txt,TeamZuegigZumErfolg,0,0,3
test-input-1_input.txt,main,0,0,9
test-input-1_input.txt,TeamOffByOne,0,0,18
test-input-1_input.txt,TeamZuegigZumErfolg,0,0,11
testLineForthBack_1_input.txt,main,0,0,10
testLineForthBack_1_input.txt,TeamHeispeed,0,0,13
testLineForthBack_1_input.txt,TeamOffByOne,0,0,10
testLineForthBack_1_input.txt,TeamZuegigZumErfolg,0,0,10
testLineForthBack_2_input.txt,main,0,0,10
testLineForthBack_2_input.txt,TeamHeispeed,0,0,16
testLineForthBack_2_input.txt,TeamOffByOne,0,0,10
testLineForthBack_2_input.txt,TeamZuegigZumErfolg,0,0,10
